product_name,brands,target,image_url,nutriscore_grade
Raisin rouge,Maison Meneau,beverages,https://images.openfoodfacts.org/images/products/327/449/097/0861/front_fr.4.400.jpg,e
Tamek Apple Juice -,Tamek,beverages,https://images.openfoodfacts.org/images/products/869/057/587/1918/front_fr.19.400.jpg,e
Vitamin water recharge,WTR,beverages,https://images.openfoodfacts.org/images/products/735/014/410/5202/front_es.3.400.jpg,unknown
Echinaforce Extrait De Plante Fraîche - 50 ML - A. Vogel,A.Vogel,beverages,https://images.openfoodfacts.org/images/products/303/562/043/5052/front_fr.9.400.jpg,b
arancia rossa,"Parmalat, Santal",beverages,https://images.openfoodfacts.org/images/products/800/258/004/0669/front_fr.4.400.jpg,c
Tassimo oreo,tassimo,beverages,https://images.openfoodfacts.org/images/products/762/221/027/6889/front_pl.11.400.jpg,e
Signature chocolate,Starbucks,beverages,https://images.openfoodfacts.org/images/products/571/195/307/7951/front_fr.18.400.jpg,d
Stewarts Key Lime W / Sugar,,beverages,https://images.openfoodfacts.org/images/products/009/879/400/0306/front_fr.3.400.jpg,unknown
Limonade artisanale bio,Elixia,beverages,https://images.openfoodfacts.org/images/products/376/004/517/0164/front_fr.4.400.jpg,d
Heidsieck Rosé,,beverages,https://images.openfoodfacts.org/images/products/325/693/030/0117/front_fr.3.400.jpg,unknown
"Zitronenlimonade, Ohne Zucker",Korrekt,beverages,,b
Deep Forest,Hey Day,beverages,https://images.openfoodfacts.org/images/products/474/331/510/0046/front_fr.4.400.jpg,e
Jus de pomme cassis pétillant,Les Vergers De La Manse,beverages,https://images.openfoodfacts.org/images/products/344/787/002/7015/front_fr.16.400.jpg,c
Chinotto,,beverages,,unknown
Karma Cola,,beverages,https://images.openfoodfacts.org/images/products/942/190/209/0707/front_fr.4.400.jpg,c
Chai Latte Vanilje,Fredsted,beverages,https://images.openfoodfacts.org/images/products/570/118/201/2458/front_fr.13.400.jpg,e
Infusion Anti-Oxydant,La tisaniere,beverages,https://images.openfoodfacts.org/images/products/304/206/070/8011/front_fr.4.400.jpg,c
